数量,ISBN,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版
1,9.78756E+12,,,不思议图书馆,48,湖南人民出版社,[日]寺山修司,Jun-17,,,,我的职业，就是寺山修司。 寺山修司 寺山修司是一个跨界怪才，他是导演、诗人、小说家，也是赌马评论人、戏剧家。他执导的《再见箱舟》《死者田园祭》被列为电影旬报年度十佳影片，并获戛纳电影节金棕榈奖提名；他创作的《草迷宫》《狂人教育》等成为日本前卫戏剧的代表作品。他的身份无法定义，所以寺山修司说： 我的职业，就是寺山修司 启发电影导演园子温、岩井俊二、今敏以及摄影师森山大道、建筑家安藤忠雄的文化奇才 日本导演园子温说， 或许，寺山修司对于我的影响已深入到我的体内。 安藤忠雄在接受《外滩画报》采访时也说， 寺山修司教会了我如何深入人的内心，并将它们优美地表现出来。 而作为寺山修司的粉丝，摄影家森山大道，感佩寺山修司的阅读量，还说， 从而立之年开始，我不断受到寺山修司的感召。 一本集恶趣,,,
2,9.78756E+12,,,不只是居住,554.34,重庆大学出版社,贾如君（著）李寅（著）,Mar-16,,,,书中归纳了瑞士苏黎世市的社会住房建设历史，并结合芝加哥、巴黎、柏林、维也纳、中国香港和新加坡的经验，深入探讨社会住宅在平息社会矛盾，促进城市可持续发展方面的作用，并分析了住房合作社如何能够有效平衡经济增长与社会保障，兼顾社区融合与城市发展。为了让读者对瑞士住房合作社有更加直观的认识，作者选取了位于城市不同区域的3个住房合作社的案例。分别从合作社历史、经济运作模式、对城市形态和发展的影响及回应、住户参与在建筑设计上的体现、社区生活以及绿色生态的层面，一步步勾勒出住房合作社的清晰形象。在大量的统计数据和实地调研的基础上，作者简明介绍了住宅合作社的运营模式，并以城市和社区的可持续发展为导向，归纳出住房合作社的优势与不足，以及运作过程中的关键问题：永久的非营利性以及不断提高的市场占有率。,,,
3,9.7871E+12,,,不只中国木建筑,79,中华书局,,Apr-18,,,,,,,
0,9.7871E+12,,,布鲁塞,92,人民美术出版社,贝涅・彼特、 冯索瓦・史奇顿,Jun-16,,,,,,,
1,9.78751E+12,,,布满贫民窟的星球,45,三辉图书/中信出版集团/中信·大方,迈克·戴维斯,Jan-17,,,,蔚蓝星球上的阴暗地带  现代社会中的畸形角落,,,
1,9.78751E+12,,,茶馆：成都的公共生活和微观世界（1900-1950）,59,社会科学文献出版社,王笛（著）,Feb-10,,,,　　近年来对近代欧洲咖啡馆以及类似的公共消费空间之研究有很大进步，但关于中国茶馆则成果甚少，王笛的书大大改变了这种不平衡状况。这项研究意味着对中国茶馆以及它们在城市现代化中所扮演角色学术探索的一大发展。《茶馆：成都的公共生活的微观世界1900～1950》写作上乘，清晰明快，读起来令人赏心悦目，《茶馆：成都的公共生活的微观世界1900～1950》做出了重大学术贡献，将成为今后研究的一个范例。,,,
1,9.78752E+12,,,禅宗花园,288,中信出版社,米拉·洛克,Apr-20,,,,解剖禅宗美学，直击虚空的本质,,,
2,9.78752E+12,,,场景：空间品质如歌塑造社会生活,98,社会科学文献出版社,尼尔・亚伦・西尔，特里・尼科尔斯・克拉克,Jan-19,,,,场景，是一个地方的整体文化风格或美学特征。当一个社区变成一个场景时，它可以成为培养各类精神的地方。场景，正在重新定义城市经济、居住生活、政治活动和公共政策 《场景：空间品质如何塑造社会生活》一书所介绍的场景理论，由特里 克拉克和丹尼尔 西尔为首的新芝加哥学派创立，是国际上分析城市的文化风格和美学特征对城市发展作用的理论工具。从经济增长到居住地选择，再到选举和新社会运动，场景理论涵盖了社会生活的方方面面。场景理论从消费角度来解释后工业城市发展的经济社会现象，区别于以生产为导向的工业理论。场景理论不仅把消费当作消费活动本身去研究，而且还着重研究消费的社会组织形态。 对于中国城市发展来说，场景理论带给我们的启示至少包括以下五个方面：一，有助于培育城市发展内生动力。二，有助于理解拉,,,
1,9.78756E+12,,,场所精神：迈向建筑现象学,68,华中科技大学出版社,诺伯舒兹（著）施植明（译）,Jul-10,,,,　　《场所精神：迈向建筑现象学》仍主张艺术作品的概念系生活情境的“具现”（concretization）。人的基本需求在于体验其生活情境是富有意义的，艺术作品的目的则在于”保存”并传达意义。总之，早期著作的目的在于以具体的建筑观点来认识建筑，目前我仍以为这种目的是最重要的事。今天许多混乱的产生是由于一些人在谈论建筑时东拉西扯所造成的。因此我将反映出建筑的信念：我并不同意风土的或纪念性的建筑是一种奢侈品，或是某种“感动大众”的东西（如拉普普（A.Rapoport）所言）。建筑没有什么不同的”种类”，只有不同的情境需要不同的解决方式，藉以满足人生在实质上和精神上的需求。,,,
1,9.78731E+12,,,敞开：人与动物,38,南京大学出版社,吉奥乔·阿甘本（著）蓝江（译）,Feb-19,,,,人类历史的终结是一个事件，一个已经被从圣保罗到本雅明的弥赛亚主义、从黑格尔到科耶夫的辩证学家所预言和宣告的事件。谁是即将来临（或业已降临）的走向终结的历史的主人公？人是什么？人如何登上舞台？然后人是如何在众多动物中成为主人和保持其首要地位的？在《敞开》中，吉奥乔·阿甘本认为，人一直被看成自然的有生命力的身体和超自然的、社会的或神圣的因素的神秘结合体，我们反过来必须将人理解为把人性与动物性从实践上和政治上分开的结果。从古希腊人和弥赛亚思想家，经由18世纪现代科学分类学和人类学的起源，再到20世纪人文主义的黄昏，阿甘本追溯了整个思想线索。他发现人的特殊地位是由西方思想中的“人类学机制”生产出来并加以巩固的。在古代和现代的版本中，人类学机制通过在人与动物之间制造一种*差异，让整个机制得以运转：一方面，让人凌驾在动物与环境之上；另一方面，相对于海德格尔所说的人类特质向一个世界的敞开而言，动物性从根本上被排斥在外。在阿甘本的考察中，他聚焦于人与动物之间的这个区分之槛，这个状态既不是动物生命，也不是人的生命。这就是“赤裸生命”的状态。这个人类学机制一旦停止，就会为即将来临的哲学和政治铺平道路，这是我们必须思考的。,,,
0,9.78731E+12,,,美学中的不满,40,南京大学出版社,雅克·朗西埃（著）蓝江（译）李三达（译）,May-19,,,,以前，有人指责美学取消了社会差别的文化规则。今天我们想用寄生着美学的话语来从事艺术实践。但美学不是一种话语。它是一种识别艺术的历史体制。这个体制是矛盾的，因为它创造了艺术的自律，但代价是废除了将艺术实践和艺术对象与日常生活实践和对象分开的界限，美学许下发动一场新革命的承诺。美学并非偶然的政治，但它本质上就是政治。它处于两种对立的政治之间无法解决的张力关系之上：要么彻底地将艺术形式变成集体生活形式; 要么在军事或商业的妥协下，保留艺术的自律，让这种自律成为解放的承诺。这个基本的张力关系解释了批判性艺术的悖论和转型。也让我们理解了，今天，在不明确的伦理之下，美学艺术的解放的呼声，与政治一起走向沦落。,,,
2,9.78752E+12,,,超级思维：人类和计算机一起思考的惊人力量,69.1,中信出版社,托马斯·W（著）马隆（著）,Sep-19,,,,“超级思维”一词的意思是“多种个体思维形成的强大组合”。这本书要讲述的正是超级思维在我们这个星球上的发展历程。我们会看到人类的历史在很大程度上就是人类超级思维的历史，也就是以群体（比如层级制、社群、市场和民主制）为单位的人，如何完成了仅凭一己之力不可能做到的事情。,,,
2,9.78756E+12,,,城邦变形记,68,广西师范大学出版社,皮埃尔·马南（著）曹明（译）,Apr-19,,,,在卡夫卡的小说《变形记》中，萨姆沙醒来发现自己一夜之间从人变成了甲虫。如果说20世纪始于这样一个时刻，即政治的死去，那么需要回答的问题是：人是如何从动物变形为政治动物，以及作为政治动物究竟意味着什么，什么是人统治自身的zui jia方式。在马南看来，西方历史便是被对这一问题的回答的斗争塑造着。,,,
2,9.7871E+12,,,城市、地域、星球：批判城市理论,68,商务印书馆,尼尔（著）博任纳（著）,Sep-19,,,,当今中国城市研究以实证为主，在理论化以及对哲学思潮与社会思潮的关注方面，都还稍显不足。《城市，地域，星球：批判城市理论》既是一本针对21世纪城市问题的城市研究专著，也是一本涉及诸多城市理论的力著。本书作者尼尔•博任纳（Neil Brenner）是哈佛大学设计学院的“城市理论”教授，也是该学院“城市理论实验室”主任，是近年在北美乃至世界城市研究领域*影响力的学术新星，尤其擅长理论思辨与批判。本书涵盖了博任纳近20年来对于城市问题、城市理论和研究方法的诸多思考，其中既有作者早期的研究，如尺度政治与西欧区域及国家重构，也有其近期对全球“星球城市化”的系统研究以及对传统城市化理论的全面批判。本书可以说是了解21世纪西方城市理论的必读物。,,,
2,9.78723E+12,,,城市的精神：全球化时代城市何以安顿我们,55,重庆出版社,[加]贝淡宁 [以] 艾维纳著,Jan-18,,,,"城市，从很早的时候起，就是人类追求自由、幸福和美好生活的象征。如今，更多的人为了寻找更美好的生活 , 或主动或被动地选择在城市落脚。 每座城市都有自己独特的气质。独特的历史和地域，以及其居民所表达出的独特习性和价值观，形成了各自的精神。比如，北京，代表着中国肃穆和正统的文化和政治；巴黎，弥漫着高贵优雅的时尚风格和浪漫主义的精神气质；纽约，自由女神象征的新天地和美国梦承载的野心勃勃 选择一座城市，就是选择了一种生活。 我们是如何被这座城市吸引而来的？落脚的城市是否是心灵真正的家园？我们心底所骄傲的，有没有被这个城市表达出来？我们有没有被这座城市所接纳和呵护？ 这或许是每个怀揣梦想和希望的异乡人一直在追问的问题。 在《城市的精神 : 全球化时代，城市何以安顿我们》中，有 中国*受欢",,,
1,9.78721E+12,,,城市里的陌生人：中国流动人口的空间、权力与社会网络的重构,25,江苏人民出版社,张鹂（著）袁长庚（译）,Jan-14,,,,　　中国的改革开放造就了人类历史上罕见的大规模人口流动，在三十年的时间里，超过两亿中国农民离开家乡，进八城市寻求务工、经商的机遇。这一现象深刻地影响了当代中国的政治经济结构以及文化再生产。《海外中国研究系列·凤凰文库：城市里的陌生人（中国流动人口的空间权力与社会网络的重构》所展示的是人口流动所引发的空间、社会关系重构，以及跨区域联系网络的建立。通过展现一个典型的外地人口社区——北京丰台“浙江村”的发展、繁荣、拆除、重建，作者展现了后毛时代（post—Maoera）中国社会治理模式的转变以及私人社会空间对传统管理制度的挑战。《海外中国研究系列·凤凰文库：城市里的陌生人（中国流动人口的空间权力与社会网络的重构）》挑战了“市场胜利、国家撤退”的简化论，强调要从更为复杂的日常实践和持续的变迁当中去理解当代中国的“国家一社会”关系。,,,
